ID	DOCULECT	IPA	CONCEPT	COGID	ALIGNMENT
470	kain1272	ti	he/she/it	234	- - - - t i - - - - - -
471	kara1500	tii	he/she/it	234	- - - - t ii - - - - - -
472	mund1330	ite	he/she/it	234	- - i - t e - - - - - -
473	paez1247	taa	he/she/it	234	- - - - t aa - - - - - -
474	taca1256	toeda	he/she/it	234	t o e - d a - - - - - -
475	hupd1244	tih	he/she/it	234	- - - - t i h - - - - -
476	krik1239	ta	he/she/it	234	- - - - t a - - - - - -
477	onaa1245	ta	he/she/it	234	- - - - t a - - - - - -
478	tari1256	di	he/she/it	234	- - - - d i - - - - - -
479	tehu1242	ta:	he/she/it	234	- - - - t a: - - - - - -
480	cofa1242	tise	he/she/it	234	- - - - t i s e - - - -
481	taca1256	toaweda	he/she/it	234	- - - - t o a w e d a -
482	qawa1238	tou	he/she/it	234	- - - - t o u - - - - -
483	esee1248	tu	he/she/it	234	- - - - t u - - - - - -
484	cavi1250	tu	he/she/it	234	- - - - t u - - - - - -
485	maqu1238	tiwi	he/she/it	234	- - - - t i w i - - - -
486	baur1253	riti	he/she/it	234	r - - i t i - - - - - -
487	epen1239	ici	he/she/it	234	- - - i c i - - - - - -
488	niva1238	lawaaca	he/she/it	234	l a w aa c a - - - - - -
489	pume1238	ɔde	he/she/it	234	- - - ɔ d e - - - - - -
490	puqu1242	t͡ʃu	he/she/it	234	- - - - t͡ʃ u - - - - - -
491	waor1240	tobega	he/she/it	234	- - - - t o b e - g a -
492	sanb1242	ad	he/she/it	234	- - - a d - - - - - - -
493	chay1248	saja	he/she/it	253	- s a y a - - - - - - -
494	puel1244	ʃaʃa	he/she/it	253	- ʃ a ʃ a - - - - - - -
495	awac1239	us	he/she/it	253	u s - - - - - - - - - -
496	mund1330	ise	he/she/it	253	i s e - - - - - - - - -
497	chib1270	asy	he/she/it	253	a s y - - - - - - - - -
498	agua1253	ii	we	258	ii - - - - - - - - - - - - - -
499	shua1257	íĩ	we	258	í ĩ - - - - - - - - - - - - -
500	cand1248	i	we	258	i - - - - - - - - - - - - - -
501	ayor1240	yokeʔ	we	259	- - y - - o k e ʔ - - - - - -
502	ayor1240	uuyokeʔ	we	259	uu - y - - o k e ʔ - - - - - -
503	macu1259	uuriʔnikon	we	259	uu r i ʔ n i k o n - - - - - -
504	enap1235	yutokon	we	259	y - u t - o k o n - - - - - -
505	nort2980	yaʔakuna	we	259	y - a ʔ - a k u n a - - - - -
506	sion1247	mai	we	261	m a - i - - - - - - - - - - -
507	arhu1242	manʉnka	we	261	m a n ʉ n k a - - - - - - - -
508	trin1274	w	we	263	w - - - - - - - - - - - - - -
509	tari1256	wa	we	263	w a - - - - - - - - - - - - -
510	muni1258	wü	we	263	w ü - - - - - - - - - - - - -
511	ashe1272	a	we	263	- a - - - - - - - - - - - - -
512	cayu1262	o	we	263	- o - - - - - - - - - - - - -
513	cayu1262	oda	we	263	- o d a - - - - - - - - - - -
514	waya1270	ya	we	263	y - - a - - - - - - - - - - -
515	yagu1244	wuy	we	263	w u - - y - - - - - - - - - -
516	yuwa1244	ye	we	263	y - - e - - - - - - - - - - -
517	awac1239	au	we	263	- a - u - - - - - - - - - - -
518	yane1238	ja	we	263	y a - - - - - - - - - - - - -
519	wari1268	wariʔ	we	263	w a r i ʔ - - - - - - - - - -
520	wari1268	warut	we	263	w a r u t - - - - - - - - - -
521	siri1273	ure	we	263	- u r e - - - - - - - - - - -
522	tuyu1244	bari	we	263	b a r i - - - - - - - - - - -
523	enap1235	weʔnəkon	we	263	w e ʔ - n ə k o n - - - - - -
524	wapi1253	wainau	we	263	w ai - - n a - u - - - - - - -
525	wayu1243	waya	we	263	w a y a - - - - - - - - - - -
526	yavi1244	wayaha	we	263	w a y a h a - - - - - - - - -
527	mund1330	wiyji	we	263	w i y i - - - - - - - - - - -
528	yuwa1244	yeti	we	263	y e t i - - - - - - - - - - -
529	sion1247	yikina	we	263	y i k i n a - - - - - - - - -
530	orow1243	wariʔ	we	263	w a - - r i ʔ - - - - - - - -
531	wany1246	wari	we	263	w a - - r i - - - - - - - - -
532	urup1245	wari	we	263	w a - - r i - - - - - - - - -
533	tora1263	wazati	we	263	w a z a t i - - - - - - - - -
534	iten1243	watiʔ	we	263	w a - - t i ʔ - - - - - - - -
535	kite1237	wat͡ʃe	we	263	w a - - t͡ʃ e - - - - - - - - -
536	chap1269	wajahu	we	263	w a y a h u - - - - - - - - -
537	east2555	yade	we	263	y a d e - - - - - - - - - - -
538	baur1253	βiti	we	267	β i t i - - - - - - - - - - -
539	igna1246	witi	we	267	w i t i - - - - - - - - - - -
540	mash1270	wita	we	267	w i t a - - - - - - - - - - -
541	puin1248	bitu	we	267	b i t u - - - - - - - - - - -
542	waor1240	bodo	we	267	b o d o - - - - - - - - - - -
543	waor1240	bodito	we	267	b o d i t o - - - - - - - - -
544	boro1282	pagi	we	267	p a g i - - - - - - - - - - -
545	pume1238	arore	we	275	- a r o r e - - - - - - - - -
546	chac1249	lala	we	275	- - l a l a - - - - - - - - -
547	para1311	ore	we	275	- o r e - - - - - - - - - - -
548	ache1246	ore	we	275	- o r e - - - - - - - - - - -
549	east2555	ore	we	275	- o r e - - - - - - - - - - -
550	leco1242	t͡ʃera	we	275	t͡ʃ e r a - - - - - - - - - - -
551	amar1274	oroʔ	we	275	- o r o - - ʔ - - - - - - - -
552	trum1247	hauan	we	277	- - - h a u - a n - - - - - -
553	yama1264	hipaj	we	277	- - - h i - p a - - j - - - -
554	arao1248	kada	we	277	- - - k a - d a - - - - - - -
555	arao1248	kadaha	we	277	- - - k a - d a h a - - - - -
556	arao1248	kama	we	277	- - - k a - - - m a - - - - -
557	arao1248	kamaha	we	277	- - - k a - - - m a h a - - -
558	bari1297	cyiidyi	we	277	- - - c y ii d y - i - - - - -
559	gali1262	kiko	we	277	- - - k i - k o - - - - - - -
560	chay1248	kija	we	277	- - - k i - y a - - - - - - -
561	chol1284	kiha	we	277	- - - k i - h a - - - - - - -
562	iqui1243	kina	we	277	- - - k i - - - n a - - - - -
563	ocai1244	xaajóh	we	277	- - - x aa - j ó h - - - - - -
564	mill1237	kut͡ʃu	we	277	- - - k u - t͡ʃ u - - - - - - -
565	jebe1250	kuða	we	277	- - - k u - ð a - - - - - - -
566	mund1330	oceji	we	277	- - o c e - y i - - - - - - -
567	taca1256	ekaneda	we	277	- - e k a - - - n e d a - - -
568	taca1256	ekanaho	we	277	- - e k a - - - n a h o - - -
569	kunz1244	kuna	we	277	- - - k u - - - n a - - - - -
570	nina1238	kahowamak	we	277	- - - k a - h o - - w a m a k
571	nina1238	wamak	we	277	- - - - - - - - - - w a m a k
572	nina1238	kamiyamak	we	277	- - - k a - - - m i y a m a k
573	nina1238	yamak	we	277	- - - - - - - - - - y a m a k
574	puel1244	kɨyaw	we	277	- - - k ɨ - y a - - w - - - -
575	maqu1238	kiwi	we	277	- - - k i - w i - - - - - - -
576	niva1238	kaswaaca	we	277	- - - k a - s - w aa c a - - -
577	paez1247	kweʔs	we	277	- - - k - - w e - - ʔ s - - -
578	waiw1244	kiiwi	we	277	- - - k ii - w i - - - - - - -
579	waiw1244	kiwyam	we	277	- - - k i - w y - a - - m - -
580	trum1247	kaa	we	277	- - - k aa - - - - - - - - - -
581	pila1245	koʔmi	we	277	- - - k o ʔ - - m i - - - - -
582	urar1246	kana	we	277	- - - k a - - - n a - - - - -
583	hixk1239	kɨwro	we	277	- - - k ɨ - w - r o - - - - -
584	sout2996	hiwasa	we	277	- - - h i - w a s a - - - - -
585	para1311	haʔe	we	277	- - - h a - ʔ e - - - - - - -
586	para1311	haʔecupe	we	277	- - - h a - ʔ e c u p e - - -
587	cent2142	hiwsa	we	277	- - - h i - w - s a - - - - -
588	maca1260	inekhewel	we	277	- - - k h e w e l - - - - - -
589	maca1260	inekhewelkiʔ	we	277	- - - k h e w e l - k i ʔ - -
590	maca1260	yekhewelil	we	277	y - e k h e w e l - i l - - -
591	onaa1245	ikuwa	we	277	- - i k - u w a - - - - - - -
592	tehu1242	okwa:	we	277	- - o k - - w a: - - - - - - -
593	cusc1236	ɲuqant͡ʃis	we	277	- - - q a n t͡ʃ i s - - - - - -
594	djeo1235	ħirø	we	277	- - - ħ i r ø - - - - - - - -
595	ayac1239	ɲuqant͡ʃik	we	277	- - - q a n t͡ʃ i - k - - - - -
596	nort2973	ɲukant͡ʃik	we	277	- - - k a n t͡ʃ i - k - - - - -
597	toba1269	qomiʔ	we	277	- - - q o - m i - ʔ - - - - -
598	imba1240	nukanchik	we	277	- - - k a n t͡ʃ i - k - - - - -
599	waur1244	aicu	we	277	a - i c u - - - - - - - - - -
600	pano1254	noki	we	277	- - - k i - - - - - - - - - -
601	mose1249	tsin	we	310	ts i n - - - - - - - - - - - -
602	mapu1245	iɲt͡ʃiw	we	310	- i ɲ t͡ʃ i w - - - - - - - - -
603	puqu1242	seɲ	we	310	s e ɲ - - - - - - - - - - - -
604	nort2972	dai	we	310	d a - - i - - - - - - - - - -
605	epen1239	taci	we	310	t a - c i - - - - - - - - - -
606	epen1239	tai	we	310	t a - - i - - - - - - - - - -
607	chib1270	t͡ʃie	we	310	t͡ʃ i - - e - - - - - - - - - -
608	cayu1262	rihi	we	279	r i h - i - - - - - - - - - -
609	cayu1262	ihi	we	279	- i h - i - - - - - - - - - -
610	cofa1242	igi	we	279	- i g - i - - - - - - - - - -
611	movi1243	ide	we	279	- i d - e - - - - - - - - - -
612	chip1262	ut͡ʃum	we	279	- u t͡ʃ - u m - - - - - - - - -
613	kari1311	ita	we	279	i t a - - - - - - - - - - - -
614	iyow1239	yemel	we	282	- - - - - y e m e l - - - - -
615	colo1256	cikila	we	282	- - - - c - i k i l a - - - -
616	niva1238	yiwaacael	we	282	y i w aa c - a - e l - - - - -
617	iton1250	dihniʔke	we	294	d i h n i - - ʔ k e - - - - -
618	iton1250	dihniteʔke	we	294	d i h n i t e ʔ k e - - - - -
619	iton1250	sihniʔke	we	294	s i h n i - - ʔ k e - - - - -
620	iton1250	sihniteʔke	we	294	s i h n i t e ʔ k e - - - - -
621	leng1262	ninkoo	we	294	- - - n i - - n k oo - - - - -
622	yami1256	noko	we	294	- - - n o - - - k o - - - - -
623	yano1262	pɨhɨkɨ	we	294	p ɨ h - ɨ - - - k ɨ - - - - -
624	iyow1239	sam	we	295	s a m - - - - - - - - - - - -
625	kain1272	ʔen	we	295	ʔ e n - - - - - - - - - - - -
626	mash1270	ha	we	295	h a - - - - - - - - - - - - -
627	hupd1244	ʔin	we	295	ʔ i n - - - - - - - - - - - -
628	movi1243	iʔli	we	354	i ʔ l i - - - - - - - - - - -
629	waya1270	ɔlɔ	we	354	ɔ - l ɔ - - - - - - - - - - -
630	waya1270	ɔle	we	354	ɔ - l e - - - - - - - - - - -
631	wich1264	olamil	we	354	o - l a m i l - - - - - - - -
632	pano1254	noki	we	298	- - - n o k i - - - - - - - -
633	pano1254	no	we	298	- - - n o - - - - - - - - - -
634	cayu1262	ona	we	298	- o - n a - - - - - - - - - -
635	cayu1262	onara	we	298	- o - n a r a - - - - - - - -
636	kara1500	ini	we	298	- i - n i - - - - - - - - - -
637	macu1259	anna	we	298	- a - nn a - - - - - - - - - -
638	enap1235	ana	we	298	- a - n a - - - - - - - - - -
639	siri1273	nane	we	298	n a - n e - - - - - - - - - -
640	waya1270	yane	we	298	y a - n e - - - - - - - - - -
641	yagu1244	nay	we	298	- - - n a y - - - - - - - - -
642	yagu1244	nuy	we	298	- - - n u y - - - - - - - - -
643	yami1256	no	we	298	- - - n o - - - - - - - - - -
644	gali1262	nana	we	298	n a - n a - - - - - - - - - -
645	cash1251	nu	we	298	- - - n u - - - - - - - - - -
646	cash1254	nu	we	298	- - - n u - - - - - - - - - -
647	chac1251	no	we	298	- - - n o - - - - - - - - - -
648	capa1241	no	we	298	- - - n o - - - - - - - - - -
649	ship1254	no	we	298	- - - n o - - - - - - - - - -
650	ache1246	naje	we	298	- - - n a j e - - - - - - - -
651	cusc1236	ɲuqant͡ʃis	we	298	- - - ɲ u - - - - - - - - - -
652	sanb1242	nan	we	298	- - - n a n - - - - - - - - -
653	maqu1238	nna	we	298	- - - nn a - - - - - - - - - -
654	waiw1244	amna	we	298	- a m n a - - - - - - - - - -
655	ayac1239	ɲuqant͡ʃik	we	298	- - - ɲ u - - - - - - - - - -
656	nort2973	ɲukant͡ʃik	we	298	- - - ɲ u - - - - - - - - - -
657	imba1240	nukanchik	we	298	- - - n u - - - - - - - - - -
658	maca1260	inekhewel	we	298	- i - n e - - - - - - - - - -
659	maca1260	inekhewelkiʔ	we	298	- i - n e - - - - - - - - - -
660	iyow1239	samel	we	309	- - - s a m e l - - - - - - -
661	wich1264	namil	we	309	- - - n a m i l - - - - - - -
662	wich1264	nlhamilh	we	309	n - l h a m i l h - - - - - -
663	wich1264	namilh	we	309	n - - - a m i l h - - - - - -
664	wich1264	tolhamilh	we	309	t o l h a m i l h - - - - - -
665	moco1246	qomiʔ	we	309	- - - q o m i ʔ - - - - - - -
666	wich1262	nɬamiɬ	we	309	n - ɬ - a m i ɬ - - - - - - -
