# Wordlist

# DATA
ID	DOCULECT	IPA	COUNTERPART	CONCEPT	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	COGNATES	ALIGNMENT
318	yami1256	ia	ia	I	i a	7 7	XZ	IA	111	111.I.V 111.A.V	1.5 0.8	0	16	i - a
325	pume1238	kɔde	kɔde	I	k ɔ d e	1 7 1 7	AXBZ	KUTE	80	80.K.C 80.U.V 80.T.C 80.E.V	2.0 1.5 1.75 0.8	0	80	k ɔ d e
330	yavi1244	nuyaha	nuyaha	I	n u y a h a	4 7 7 7 3 7	AXYYBZ	NYYAHA	114	114.N.C 114.Y.V 114.Y.V 114.A.V 114.H.C 114.A.V	2.0 1.5 1.3 1.3 1.75 0.8	0	69	n u y a h a
334	yuwa1244	ye	ye	I	y e	7 7	XZ	YE	115	115.Y.V 115.E.V	1.5 0.8	1	9	y - e - -
340	hupd1244	ʔah	ʔah	I	ʔ a h	1 7 3	AXN	HAH	39	39.H.C 39.A.V 39.H.c	2.0 1.5 0.8	0	39	- - - ʔ a h
344	imba1240	nuka	nuka	I	n u k a	4 7 1 7	AXBZ	NYKA	41	41.N.C 41.Y.V 41.K.C 41.A.V	2.0 1.5 1.75 0.8	0	8	n u k a
348	gali1262	awu	awu	I	a w u	7 6 7	XBZ	AWY	36	36.A.V 36.W.C 36.Y.V	1.5 1.75 0.8	0	9	a w u - -
356	sara1340	mi	mi	I	m i	4 7	AX	MI	84	84.M.C 84.I.V	2.0 1.5	0	12	- - m i - -
360	wich1264	nlham	nlham	I	n l h a m	4 5 3 7 4	AXBYN	NLHAM	107	107.N.C 107.L.V 107.H.C 107.A.V 107.M.c	2.0 1.5 1.75 1.3 0.8	0	79	- n l h a m
364	agua1253	wi	wi	I	w i	6 7	AX	WI	2	2.W.C 2.I.V	2.0 1.5	0	2	w i
368	amar1274	ndoʔ	ndoʔ	I	n d o ʔ	4 1 7 1	ACYN	NTUH	3	3.N.C 3.T.C 3.U.V 3.H.c	2.0 1.5 1.3 0.8	0	3	n d o ʔ
