DOCULECT	IPA	CONCEPT	COGNATES	ORIG
tari1256	di	he/she/it	234	234
tehu1242	ta:	he/she/it	234	234
cofa1242	tise	he/she/it	234	225
taca1256	toaweda	he/she/it	234	188
qawa1238	tou	he/she/it	234	188
esee1248	tu	he/she/it	234	143
cavi1250	tu	he/she/it	234	126
maqu1238	tiwi	he/she/it	234	163
baur1253	riti	he/she/it	234	172
epen1239	ici	he/she/it	234	172
niva1238	lawaaca	he/she/it	234	172
pume1238	ɔde	he/she/it	234	172
puqu1242	t͡ʃu	he/she/it	234	187
waor1240	tobega	he/she/it	234	149
sanb1242	ad	he/she/it	234	189
chay1248	saja	he/she/it	253	253
puel1244	ʃaʃa	he/she/it	253	153
awac1239	us	he/she/it	253	115
mund1330	ise	he/she/it	253	169
chib1270	asy	he/she/it	253	132
agua1253	ii	we	258	258
shua1257	íĩ	we	258	258
cand1248	i	we	258	269
ayor1240	yokeʔ	we	259	259
ayor1240	uuyokeʔ	we	259	259
macu1259	uuriʔnikon	we	259	259
enap1235	yutokon	we	259	259
nort2980	yaʔakuna	we	259	259
sion1247	mai	we	261	261
arhu1242	manʉnka	we	261	261
trin1274	w	we	263	342
tari1256	wa	we	263	339
muni1258	wü	we	263	313
ashe1272	a	we	263	262
cayu1262	o	we	263	263
cayu1262	oda	we	263	263
waya1270	ya	we	263	263
yagu1244	wuy	we	263	263
yuwa1244	ye	we	263	263
awac1239	au	we	263	263
yane1238	ja	we	263	358
wari1268	wariʔ	we	263	344
wari1268	warut	we	263	344
siri1273	ure	we	263	344
tuyu1244	bari	we	263	344
enap1235	weʔnəkon	we	263	348
wapi1253	wainau	we	263	348
wayu1243	waya	we	263	352
yavi1244	wayaha	we	263	352
mund1330	wiyji	we	263	312
yuwa1244	yeti	we	263	312
sion1247	yikina	we	263	343
east2555	yade	we	263	285
baur1253	βiti	we	267	267
igna1246	witi	we	267	267
mash1270	wita	we	267	267
puin1248	bitu	we	267	267
waor1240	bodo	we	267	267
waor1240	bodito	we	267	267
boro1282	pagi	we	267	268
pume1238	arore	we	275	275
chac1249	lala	we	275	275
para1311	ore	we	275	411
ache1246	ore	we	275	362
east2555	ore	we	275	366
leco1242	t͡ʃera	we	275	301
amar1274	oroʔ	we	275	259
trum1247	hauan	we	277	343
yama1264	hipaj	we	277	356
arao1248	kada	we	277	277
arao1248	kadaha	we	277	277
arao1248	kama	we	277	277
arao1248	kamaha	we	277	277
bari1297	cyiidyi	we	277	277
gali1262	kiko	we	277	277
chay1248	kija	we	277	277
chol1284	kiha	we	277	277
iqui1243	kina	we	277	277
ocai1244	xaajóh	we	277	277
mill1237	kut͡ʃu	we	277	277
jebe1250	kuða	we	277	296
mund1330	oceji	we	277	300
taca1256	ekaneda	we	277	300
taca1256	ekanaho	we	277	300
kunz1244	kuna	we	277	300
nina1238	kahowamak	we	277	314
nina1238	wamak	we	277	314
nina1238	kamiyamak	we	277	314
nina1238	yamak	we	277	314
puel1244	kɨyaw	we	277	326
maqu1238	kiwi	we	277	315
niva1238	kaswaaca	we	277	315
paez1247	kweʔs	we	277	315
waiw1244	kiiwi	we	277	315
waiw1244	kiwyam	we	277	315
trum1247	kaa	we	277	385
pila1245	koʔmi	we	277	279
urar1246	kana	we	277	305
hixk1239	kɨwro	we	277	289
sout2996	hiwasa	we	277	337
para1311	haʔe	we	277	274
para1311	haʔecupe	we	277	274
cent2142	hiwsa	we	277	274
maca1260	inekhewel	we	277	303
maca1260	inekhewelkiʔ	we	277	303
maca1260	yekhewelil	we	277	303
onaa1245	ikuwa	we	277	303
tehu1242	okwa:	we	277	303
cusc1236	ɲuqant͡ʃis	we	277	283
djeo1235	ħirø	we	277	284
ayac1239	ɲuqant͡ʃik	we	277	264
nort2973	ɲukant͡ʃik	we	277	264
toba1269	qomiʔ	we	277	341
imba1240	nukanchik	we	277	292
waur1244	aicu	we	277	285
pano1254	noki	we	277	298
mose1249	tsin	we	310	310
mapu1245	iɲt͡ʃiw	we	310	305
puqu1242	seɲ	we	310	329
nort2972	dai	we	310	278
epen1239	taci	we	310	278
epen1239	tai	we	310	278
chib1270	t͡ʃie	we	310	278
cayu1262	rihi	we	279	279
cayu1262	ihi	we	279	279
cofa1242	igi	we	279	279
movi1243	ide	we	279	279
chip1262	ut͡ʃum	we	279	279
kari1311	ita	we	279	299
iyow1239	yemel	we	282	282
colo1256	cikila	we	282	282
niva1238	yiwaacael	we	282	282
iton1250	dihniʔke	we	294	294
iton1250	dihniteʔke	we	294	294
iton1250	sihniʔke	we	294	294
iton1250	sihniteʔke	we	294	294
leng1262	ninkoo	we	294	294
yami1256	noko	we	294	294
yano1262	pɨhɨkɨ	we	294	294
iyow1239	sam	we	295	295
kain1272	ʔen	we	295	295
mash1270	ha	we	295	295
hupd1244	ʔin	we	295	290
movi1243	iʔli	we	354	354
waya1270	ɔlɔ	we	354	354
waya1270	ɔle	we	354	354
wich1264	olamil	we	354	354
pano1254	noki	we	298	298
pano1254	no	we	298	298
cayu1262	ona	we	298	298
cayu1262	onara	we	298	298
kara1500	ini	we	298	298
macu1259	anna	we	298	298
enap1235	ana	we	298	298
siri1273	nane	we	298	298
waya1270	yane	we	298	298
yagu1244	nay	we	298	298
yagu1244	nuy	we	298	298
yami1256	no	we	298	298
gali1262	nana	we	298	298
cash1251	nu	we	298	298
cash1254	nu	we	298	298
chac1251	no	we	298	298
capa1241	no	we	298	270
ship1254	no	we	298	333
ache1246	naje	we	298	257
cusc1236	ɲuqant͡ʃis	we	298	283
sanb1242	nan	we	298	305
maqu1238	nna	we	298	374
waiw1244	amna	we	298	403
ayac1239	ɲuqant͡ʃik	we	298	264
nort2973	ɲukant͡ʃik	we	298	264
imba1240	nukanchik	we	298	292
maca1260	inekhewel	we	298	303
maca1260	inekhewelkiʔ	we	298	303
iyow1239	samel	we	309	309
wich1264	namil	we	309	309
wich1264	nlhamilh	we	309	309
wich1264	namilh	we	309	309
wich1264	tolhamilh	we	309	309
moco1246	qomiʔ	we	309	309
wich1262	nɬamiɬ	we	309	309
